PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
465-37*1,Quercus montana,Chestnut Oak,,g,H. Kohankie & Son,,,,Quercus,south section,G-102,95-28,
65-92*1,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum Research Program,United States of America,"Konsis, K","United States of America, Illinois, Vermilion, from a spontaneous tree in Forest Glen County Preserve near Westville",Quercus,south section,H-100,31-65,
498-2005*2,Quercus petraea,Durmast Oak,,z,Starhill Forest Arboretum,Germany,?,"Germany, Hamburg, near Alten Eichen Hospital, Hamburg, Schelswig-Holstein",Quercus,south section,L-96,59-39,
1164-22*9,Quercus palustris,Pin Oak,,g,D. Hill Nursery Co.,,,,North Forestry Plot,south side,S-82,11-75,
530-2008*1,Quercus aliena var. acutiserrata,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",Quercus,south section,K-94,27-95,
305-94*3,Quercus marilandica,Blackjack Oak,,w,International Oak Society Seed Exchange,United States of America,"Green, T","United States of America, Illinois, Henderson, near Oquaka",Quercus,north section,K-102,31-62,
2387-26*37,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-82,34-88,
358-2002*1,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,Q-07,22-95,
239-42*2,Quercus alba,White Oak,,g,Ohio Agricultural Experiment Station,,,,Quercus,north section,K-98,37-75,
635-48*3,Quercus rubra var. borealis,Northern Red Oak,,g,Arnold Arboretum of Harvard University,,,,Centennial Grove,,A-58,25-63,
852-2005*6,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Kangle, at Xian Jia Wan",Quercus,south section,K-95,41-20,
417-45*8,Quercus buckleyi,Buckley's Oak,,z,,United States of America,"Deam, CC","United States of America, Oklahoma, in Platt National Park",Rosaceae,,B-60,86-77,
839-79*4,Quercus bicolor,Swamp White Oak,,g,The Morton Arboretum-Staff,United States of America,?,United States of America,Sargent's Glade,south section,X-20,88-95,
180-93*3,Quercus robur,English Oak,,w,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",Russia,"Linden, PJ van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",Central & Western Asia,,CC-70,82-96,
634-49*3,Quercus schochiana,Schoch's Oak,,g,,,,,Rosaceae,,B-65,81-53,
538-82*5,Quercus rubra,Northern Red Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, from above Sauk Lake in Sauk Trail Forest Preserve",Fagaceae,south section,J-12,06-69,
2385-26*19,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,T-82,43-89,
108-2018*2,Quercus imbricaria,Shingle Oak,,g,"Possibility Place Nursery, Inc.",,,,Pine Hill,,W-6,19-92,
54-2007*3,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Visitor Center Parking,northeast median,R-48,42-50,
19-2012*2,Quercus macranthera,Caucasian Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Khachmaz, Gusarchay Village",Quercus,north section,L-104,16-27,
357-2002*6,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,,T-06,19-54,
134-U*68,Quercus alba,White Oak,,u,,,,,Sterling Woods,,N-5,89-49,
139-U*32,Quercus palustris,Pin Oak,,u,,,,,Bluebird Meadow,,II-17,23-09,
434-2013*1,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Upper Joy Path,east side,EE-26,79-83,
549-82*2,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Fagaceae,south section,K-14,04-26,
77-72*1,Quercus palustris 'Sovereign',Sovereign Pin Oak,,g,"Cole Nursery Co. (AmFac Nurseries, Cole)",,,,Quercus,south section,H-103,65-70,
365-2007*5,Quercus prinoides,Dwarf Chinkapin Oak,,w,The Morton Arboretum Research Program,United States of America,"Hipp, AL","United States of America, Michigan, Washtenaw, Hankerd Road Sand Barrens, adjacent to Pickerel Lake",Midwest,,L-69,95-47,
704-46*3,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Quercus,north section,M-103,22-42,
539-96*3,Quercus michauxii,Swamp Chestnut Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",Quercus,north section,L-97,64-79,
352-61*3,Quercus imbricaria,Shingle Oak,,g,Edward H. Scanlon & Assoc.,,,,Tree Evaluation Plot,,C-94,04-17,
2175-29*14,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,S-83,88-02,
54-2007*2,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Thornhill Overflow Lot,median,OO-23,95-60,
285-83*1,Quercus bicolor,Swamp White Oak,,g,"Lafayette Home Nursery, Inc. Ingles Bros.",,,,Education Support Building,,LL-31,63-77,
548-82*6,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Sargent's Glade,south section,W-18,39-82,
137-U*7,Quercus imbricaria,Shingle Oak,,u,,,,,Forestry Plot Area,,O-69,40-71,
248-86*8,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Godshalk Meadow,east side,N-38,30-64,
587-83*2,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, near the Burlington Northern Railroad at Millington",Thornhill Parking,shelter,MM-28,43-80,
541-2005*17,Quercus ellipsoidalis,Hill's Oak,,g,A. Brown & Sons Nursery,,,,Thornhill Overflow Lot,north side,PP-22,65-54,
258-2004*3,Quercus petraea subsp. iberica,Georgian Oak,,w,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,Czech Republic,?,"Czech Republic, North Moravia, Prerov, in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave",Quercus,south section,K-96,97-62,
2-2003*3,Quercus 'K. B. Crystal',K. B. Crystal Oak,,g,"Heritage Seedlings, Inc.",,,,Quercus,south section,I-99,79-05,
2385-26*24,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,T-82,22-87,
1164-2004*2,Quercus falcata,Southern Red Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Arkansas, Cross, Village Creek State Park near visitor center parking lot",Ozark,west side,R-26,30-80,
248-86*7,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Godshalk Meadow,east side,N-38,00-58,
2387-26*41,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,07-52,
141-38*2,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Firefly Pond,,G-42,95-50,
2643-22*4,Quercus bicolor,Swamp White Oak,,g,Arnold Arboretum of Harvard University,,,,West Malus,Simonds Road section,U-32,60-45,
134-U*40,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-27,44-43,
139-U*24,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,inner loop,F-59,28-87,
107-2018*2,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Pine Hill,,Z-3,99-59,
134-U*27,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,KK-28,65-24,
134-U*38,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-28,42-26,
275-2008*1,Quercus rubra,Northern Red Oak,,g,"Beaver Creek Nursery, Inc.",,,,Visitor Center Parking,west side,Q-44,63-87,
173-2001*1,Quercus dentata,Daimyo Oak,,z,The Morton Arboretum,China (PRC),"Bretschneider, EV","China (PRC), near Peking",China,south section,X-64,01-88,
537-82*9,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, near Sauk Lake in Sauk Trail Forest Preserve",Ozark,north side,P-25,30-93,
340-2002*3,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,China (PRC),,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",China,central section,BB-65,31-88,
602-2000*1,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Craig, at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest",Quercus,south section,G-104,97-11,
548-82*2,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Northern Illinois,,K-61,37-41,
109-2018*2,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Pine Hill,,W-8,66-78,
540-96*3,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",Quercus,north section,K-101,08-10,
139-U*23,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,inner loop,E-60,81-31,
343-94*6,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",Childrens Garden,Central Plaza,K-51,08-94,
808-51*1,Quercus macrocarpa,Bur Oak,,w,,United States of America,"Anten, BC","United States of America, Missouri, Jasper, near Carterville",Quercus,north section,N-102,62-67,
436-2013*1,Quercus alba,White Oak,,g,Possibility Place Nursery,,,,Founder's Grove,southwest section,CC-27,51-90,
142-U*14,Quercus rubra,Northern Red Oak,,w,Spontaneous plant of The Morton Arboretum,,,,Gateway to Tree Science,,F-105,11-03,
4-2008*5,Quercus dentata,Daimyo Oak,,z,The Morton Arboretum,China (PRC),"Bretschneider, EV","China (PRC), near Peking",Quercus,south section,H-99,94-45,
435-2013*2,Quercus imbricaria,Shingle Oak,,g,Possibility Place Nursery,,,,Upper Joy Path,east side,FF-26,25-89,
361-2002*2,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,Q-05,26-37,
2386-26*10,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-82,53-92,
576-40*1,Quercus shumardii var. schneckii,Schneck's Oak,,w,University of Kentucky,United States of America,?,"United States of America, Kentucky, Union",Quercus,south section,M-93,84-62,
173-2001*2,Quercus dentata,Daimyo Oak,,z,The Morton Arboretum,China (PRC),"Bretschneider, EV","China (PRC), near Peking",China,south section,X-65,02-15,
157-2016*1,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,Hinsdale Nurseries Inc.,,,,Thornhill Parking,shelter,MM-28,05-74,
544-2006*2,Quercus guadalupensis,Guadalupe Oak,,g,,United States of America,"Chmelir, G","United States of America, Texas, Burleson, in a parkway in Caldwell",Quercus,south section,L-96,28-17,
366-2007*1,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum Research Program,United States of America,"Hipp, AL","United States of America, Michigan, Monroe, Roberts Road, near intersection with Roelant Rd.; across street from landfill in state game area",Midwest,,L-62,11-42,
552-2001*7,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Kings Grove,,EE-105,32-99,
597-2001*2,Quercus macrocarpa 'Eckman',Eckman's Bur Oak,,g,,,,,Quercus,south section,J-99,18-14,
645-48*1,Quercus michauxii,Swamp Chestnut Oak,,w,Dept. of Botany Butler University,United States of America,Friesner,"United States of America, Indiana, Jackson",Quercus,south section,E-104,88-20,
244-44*1,Quercus palustris,Pin Oak,,g,Thomas B. Meehan Co.,,,,Founder's Grove,northeast section,JJ-31,97-47,
134-U*41,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-27,42-50,
139-U*11,Quercus palustris,Pin Oak,,u,,,,,Forestry Plot Area,,L-71,23-84,
134-U*63,Quercus alba,White Oak,,u,,,,,Daffodil Glade,,GG-16,85-67,
530-2008*6,Quercus aliena var. acutiserrata,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,China (PRC),,"China (PRC), Shaanxi, Zhashui, at Huang Hua Ling (Niu Bei Liang National Nature Reserve",Quercus,south section,M-92,05-83,
56-98*23,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Bluebird Meadow,,JJ-17,59-77,
541-2005*2,Quercus ellipsoidalis,Hill's Oak,,g,A. Brown & Sons Nursery,,,,Childrens Garden,Kids Tree Walk,K-49,14-32,
742-51*1,Quercus prinoides,Dwarf Chinkapin Oak,,w,Field Museum of Natural History,United States of America,"Steyermark, J","United States of America, Missouri, northwestern section",Quercus,north section,K-99,63-33,
544-2006*3,Quercus guadalupensis,Guadalupe Oak,,g,,United States of America,"Chmelir, G","United States of America, Texas, Burleson, in a parkway in Caldwell",Quercus,south section,L-96,87-31,
463-84*4,Quercus bicolor,Swamp White Oak,,w,,United States of America,?,"United States of America, Illinois, Cook, along the Des Plaines River near Willow Springs",Midwest,,N-58,22-22,
180-93*9,Quercus robur,English Oak,,w,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",Russia,"Linden, PJ van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",Quercus,north section,N-99,48-09,
2385-26*15,Quercus alba,White Oak,,u,,United States of America,?,United States of America,North Forestry Plot,south side,S-83,26-27,
190-94*1,Quercus bicolor,Swamp White Oak,,g,Klehm Nursery,,,,Thornhill Parking,west median,MM-25,71-71,
556-32*1,Quercus gambelii,Gambel's Oak,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Quercus,north section,L-99,12-08,
2387-26*49,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,66-84,
316-85*8,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Sargent's Glade,south section,Y-20,63-48,
49-2002*4,Quercus georgiana,Georgia Oak,,w,Starhill Forest Arboretum,United States of America,?,"United States of America, Georgia, DeKalb, on Stone Mountain",Quercus,south section,M-95,75-17,
1377-23*1,Quercus velutina,Black Oak,,g,H. Kohankie & Son,,,,Catalpa,,Y-12,34-08,
582-2004*1,Quercus macrocarpa,Bur Oak,,g,"Gerdes Wholesale Nursery, Inc.",,,,Visitor Center Parking,southeast median,Q-47,58-93,
3-2008*1,Quercus deamii,Deam's Oak,,z,The Morton Arboretum,United States of America,"Deam, CC","United States of America, Indiana, Wells, near Bluffton",Quercus,south section,J-95,65-22,
171-94*2,Quercus rubra,Northern Red Oak,,g,Klehm Nursery,,,,Thornhill Parking,west side,OO-25,15-24,
633-49*3,Quercus schochiana,Schoch's Oak,,g,,,,,Rosaceae,,B-67,81-52,
16-2006*1,Quercus macrocarpa,Bur Oak,,w,Starhill Forest Arboretum,United States of America,"Sternberg, G","United States of America, site not noted",Visitor Center Parking,northwest median,S-47,43-73,
523-32*1,Quercus imbricaria,Shingle Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,north section,N-103,38-07,
362-96*9,Quercus marilandica,Blackjack Oak,,w,The Morton Arboretum,United States of America,"Sternberg, G","United States of America, Missouri, Phelps",Quercus,north section,M-103,05-05,
527-2000*3,Quercus macrocarpa,Bur Oak,,w,International Oak Society Seed Exchange,United States of America,"Sternberg, G","United States of America, Illinois, Menard",Midwest,,N-67,12-44,
661-32*1,Quercus muehlenbergii,Chinkapin Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,south section,H-103,60-40,
360-2002*1,Quercus imbricaria,Shingle Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,V-06,15-68,
142-U*12,Quercus rubra,Northern Red Oak,,w,Spontaneous plant of The Morton Arboretum,,,,Witch-hazel Dell,,X-14,92-49,
2-2003*5,Quercus 'K. B. Crystal',K. B. Crystal Oak,,g,"Heritage Seedlings, Inc.",,,,Thornhill Building,north side,JJ-29,27-50,
633-49*2,Quercus schochiana,Schoch's Oak,,g,,,,,Rosaceae,,B-65,98-14,
549-82*1,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Fagaceae,north section,K-13,59-58,
597-2001*4,Quercus macrocarpa 'Eckman',Eckman's Bur Oak,,g,,,,,Dwarf Woody Plants,bed 5,F-47,01-02,
333-94*3,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",Fagaceae,south section,I-15,55-32,
21-2012*5,Quercus robur subsp. pedunculiflora,Peduncled English Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Khachmaz, at Khudat",Central & Western Asia,,FF-72,79-78,
2-2008*1,Quercus aliena var. acutiserrata,Oriental White Oak,,g,The Morton Arboretum,,,,Quercus,south section,L-92,97-50,
2386-26*21,Quercus macrocarpa,Bur Oak,,u,,,,,North Forestry Plot,south side,R-83,72-05,
704-46*4,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Quercus,north section,M-103,44-96,
82-84*1,Quercus mongolica,Mongolian Oak,,w,United States National Arboretum,Japan,?,"Japan, Aomori, Tsuta Namu, Towanda-shi, Honshu Island",Fagaceae,south section,K-15,46-75,
19-2012*1,Quercus macranthera,Caucasian Oak,,z,"US Department of Agriculture, Agriculture Research Station, Beltsville, MD",Azerbaijan,?,"Azerbaijan, Khachmaz, Gusarchay Village",Quercus,north section,K-104,45-58,
248-86*9,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Godshalk Meadow,east side,N-38,34-38,
540-96*4,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",Quercus,north section,K-101,10-48,
